id,name,haz_class_id/id
haz_class_class_1,"â€‹Division 1.1: Substances and articles which have a mass explosion hazard",haz_class_code_class_1
haz_class_class_2,"Division 1.2: Substances and articles which have a projection hazard but not a mass explosion hazard",haz_class_code_class_1
haz_class_class_3,"Division 1.3: Substances and articles which have a fire hazard and either a minor blast hazard or a minor projection hazard or both",haz_class_code_class_1
haz_class_class_4,"Division 1.4: Substances and articles which present no significant hazard; only a small hazard in the event of ignition or initiation during transport with any effects largely confined to the package",haz_class_code_class_1
haz_class_class_5,"Division 1.5: Very insensitive substances which have a mass explosion hazard",haz_class_code_class_1
haz_class_class_6,"Division 1.6: Extremely insensitive articles which do not have a mass explosion hazard",haz_class_code_class_1
haz_class_class_7,"Division 2.1: Flammable gases",haz_class_code_class_2
haz_class_class_8,"Division 2.2: Non-flammable, non-toxic gases",haz_class_code_class_2
haz_class_class_9,"Division 2.3: Toxic gases",haz_class_code_class_2
haz_class_class_10,"4.1 Flammable solids",haz_class_code_class_4
haz_class_class_11,"4.2 Solids liable to spontaneously combust",haz_class_code_class_4
haz_class_class_12,"4.3 Solids that become unstable when wet",haz_class_code_class_4
haz_class_class_13,"5.1 Oxidising agents",haz_class_code_class_5
haz_class_class_14,"5.2 Organic agents or peroxides",haz_class_code_class_5
haz_class_class_15,"6.1 Solid or liquid poisons",haz_class_code_class_6
haz_class_class_16,"6.2 Biohazardous cargo",haz_class_code_class_6