id,name,category_id/id,uom_type,active
pack_uom_bag,BAG (Bag),freight_base.product_uom_categ_pack,reference,1
pack_uom_amm,AMM (Ammo Pack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bal,BAL (Bale),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bbg,BBG (Bulk Bag),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bbk,BBK (Break Bulk),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bbl,BBL (Barrel),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bdl,BDL (Bundle),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bem,BEM (Beam),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bic,BIC (Bing Chest),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bin,BIN (Bin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bkg,BKG (Bulk Bag),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bkt,BKT (Bucket),freight_base.product_uom_categ_pack,smaller,1
pack_uom_blc,"BLC (Bale,  Compressed)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_ble,BLE (Bale),freight_base.product_uom_categ_pack,smaller,1
pack_uom_blk,BLK (Bulk),freight_base.product_uom_categ_pack,smaller,1
pack_uom_blu,"BLU (Bale,  UnCompressed)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_bnd,BND (Bundle),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bob,BOB (Bobbin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bot,BOT (Bottle),freight_base.product_uom_categ_pack,smaller,1
pack_uom_box,BOX (Box),freight_base.product_uom_categ_pack,smaller,1
pack_uom_brg,BRG (Barge),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bsk,BSK (Basket),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bxi,BXI (Box with inner container),freight_base.product_uom_categ_pack,smaller,1
pack_uom_bxt,BXT (Bucket),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cab,CAB (Cabinet),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cag,CAG (Cage),freight_base.product_uom_categ_pack,smaller,1
pack_uom_can,CAN (Can),freight_base.product_uom_categ_pack,smaller,1
pack_uom_car,CAR (Carcass),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cas,CAS (Case),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cbc,CBC (Container Bulk Cargo),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cby,CBY (Carboy),freight_base.product_uom_categ_pack,smaller,1
pack_uom_ccs,CCS (Can Case),freight_base.product_uom_categ_pack,smaller,1
pack_uom_che,CHE (Cheeses),freight_base.product_uom_categ_pack,smaller,1
pack_uom_chs,CHS (Chest),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cld,"CLD (Car Load,  Rail)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_cna,"CNA (Household goods,  Containers,  wood)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_cnb,"CNB (Container MSC ISO Military Airlift Container Int's Std's Org,  Light weight 8x8x20 foot air)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_cnc,"CNC (Container,  Navy Cargo Transporter)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_cnd,"CND (Container,  Commercial Highway lift)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_cne,CNE (Engine Container),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cnf,CNF (Multiwall Container Secured to Warehouse Pallet),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cnt,CNT (Container),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cnx,CNX (CONEX  Container Express),freight_base.product_uom_categ_pack,smaller,1
pack_uom_coi,COI (Coil),freight_base.product_uom_categ_pack,smaller,1
pack_uom_col,COL (Coil),freight_base.product_uom_categ_pack,smaller,1
pack_uom_con,CON (Cones),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cor,COR (Cord),freight_base.product_uom_categ_pack,smaller,1
pack_uom_crd,CRD (Cradle),freight_base.product_uom_categ_pack,smaller,1
pack_uom_crt,CRT (Crate),freight_base.product_uom_categ_pack,smaller,1
pack_uom_csk,CSK (Cask),freight_base.product_uom_categ_pack,smaller,1
pack_uom_ctn,CTN (Carton),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cub,CUB (Cube),freight_base.product_uom_categ_pack,smaller,1
pack_uom_cyl,CYL (Cylinder),freight_base.product_uom_categ_pack,smaller,1
pack_uom_dbk,DBK (Dry Bulk),freight_base.product_uom_categ_pack,smaller,1
pack_uom_doc,DOC (Document),freight_base.product_uom_categ_pack,smaller,1
pack_uom_doz,DOZ (Dozen),freight_base.product_uom_categ_pack,smaller,1
pack_uom_drk,DRK (Double Length Rack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_drm,DRM (Drum),freight_base.product_uom_categ_pack,smaller,1
pack_uom_dsk,DSK (Double Length Skid),freight_base.product_uom_categ_pack,smaller,1
pack_uom_dtb,DTB (Double Length Toe Bin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_duf,DUF (Duffel Bag),freight_base.product_uom_categ_pack,smaller,1
pack_uom_env,ENV (Envelope),freight_base.product_uom_categ_pack,smaller,1
pack_uom_fir,FIR (Firkin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_flo,FLO (Flo bin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_flx,FLX (Liner Bag Liquid),freight_base.product_uom_categ_pack,smaller,1
pack_uom_frm,FRM (Frame),freight_base.product_uom_categ_pack,smaller,1
pack_uom_fsk,FSK (Flask),freight_base.product_uom_categ_pack,smaller,1
pack_uom_ftr,FTR (Flat Rack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_fwr,FWR (Forward),freight_base.product_uom_categ_pack,smaller,1
pack_uom_gal,GAL (Gallon),freight_base.product_uom_categ_pack,smaller,1
pack_uom_goh,GOH (Garments on Hangers),freight_base.product_uom_categ_pack,smaller,1
pack_uom_grs,GRS (Gross),freight_base.product_uom_categ_pack,smaller,1
pack_uom_hed,HED (Heads of Beef Livestock),freight_base.product_uom_categ_pack,smaller,1
pack_uom_hgh,HGH (Hogshead),freight_base.product_uom_categ_pack,smaller,1
pack_uom_hmp,HMP (Hamper),freight_base.product_uom_categ_pack,smaller,1
pack_uom_hpt,HPT (Hopper Truck),freight_base.product_uom_categ_pack,smaller,1
pack_uom_hrb,HRB (On Hanger or Rack in Boxes),freight_base.product_uom_categ_pack,smaller,1
pack_uom_hrk,HRK (Half Standard Rack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_htb,HTB (Half Standard Tote Bin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_jar,JAR (Jar),freight_base.product_uom_categ_pack,smaller,1
pack_uom_jug,JUG (Jug),freight_base.product_uom_categ_pack,smaller,1
pack_uom_keg,KEG (Keg),freight_base.product_uom_categ_pack,smaller,1
pack_uom_kit,KIT (Kit),freight_base.product_uom_categ_pack,smaller,1
pack_uom_krk,KRK (Knockdown Rack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_ktb,KTB (Knockdown Tote Bin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_lbk,LBK (Liquid Bulk),freight_base.product_uom_categ_pack,smaller,1
pack_uom_lif,LIF (Lifts),freight_base.product_uom_categ_pack,smaller,1
pack_uom_log,LOG (Logs),freight_base.product_uom_categ_pack,smaller,1
pack_uom_lse,LSE (Loose),freight_base.product_uom_categ_pack,smaller,1
pack_uom_lug,LUG (Lugs),freight_base.product_uom_categ_pack,smaller,1
pack_uom_lvn,LVN (Lift Van),freight_base.product_uom_categ_pack,smaller,1
pack_uom_mix,MIX (Mix),freight_base.product_uom_categ_pack,smaller,1
pack_uom_mlv,MLV (MILVAN  Military Van),freight_base.product_uom_categ_pack,smaller,1
pack_uom_mpk,MPK (Multi Pack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_mrp,MRP (Multi Roll Pack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_msv,MSV (MSCVAN   Military Sealift Command Van),freight_base.product_uom_categ_pack,smaller,1
pack_uom_mxd,MXD (Mixed Type Pack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_nol,NOL (Noil),freight_base.product_uom_categ_pack,smaller,1
pack_uom_ovw,OVW (Overwrap),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pai,PAI (Pail),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pal,PAL (Pail),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pce,PCE (Piece),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pck,PCK (Packed   not otherwise specified),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pcl,PCL (Parcel),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pcs,PCS (Pieces),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pir,PIR (Pims),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pkg,PKG (Package),freight_base.product_uom_categ_pack,smaller,1
pack_uom_plf,PLF (Platform),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pln,PLN (Pipeline),freight_base.product_uom_categ_pack,smaller,1
pack_uom_plt,PLT (Pallet),freight_base.product_uom_categ_pack,smaller,1
pack_uom_pov,POV (Private Vehicle),freight_base.product_uom_categ_pack,smaller,1
pack_uom_prk,PRK (Pipe Rack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_qtr,QTR (Quarters of Beef),freight_base.product_uom_categ_pack,smaller,1
pack_uom_ral,RAL (Rail (Semiconductor)),freight_base.product_uom_categ_pack,smaller,1
pack_uom_rck,RCK (Rack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_rel,REL (Reel),freight_base.product_uom_categ_pack,smaller,1
pack_uom_rll,RLL (Roll),freight_base.product_uom_categ_pack,smaller,1
pack_uom_rol,ROL (Roll),freight_base.product_uom_categ_pack,smaller,1
pack_uom_rvr,RVR (Reverse Reel),freight_base.product_uom_categ_pack,smaller,1
pack_uom_sak,SAK (Sack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_sbc,SBC (Liner Bag Dry),freight_base.product_uom_categ_pack,smaller,1
pack_uom_scs,SCS (Suitcase),freight_base.product_uom_categ_pack,smaller,1
pack_uom_shk,SHK (Shook),freight_base.product_uom_categ_pack,smaller,1
pack_uom_sht,SHT (Sheet),freight_base.product_uom_categ_pack,smaller,1
pack_uom_sid,SID (Sides of Beef),freight_base.product_uom_categ_pack,smaller,1
pack_uom_skd,SKD (Skid),freight_base.product_uom_categ_pack,smaller,1
pack_uom_ske,SKE (Skid elevating or lift truck),freight_base.product_uom_categ_pack,smaller,1
pack_uom_slp,SLP (Slip Sheet),freight_base.product_uom_categ_pack,smaller,1
pack_uom_slv,SLV (Sleeve),freight_base.product_uom_categ_pack,smaller,1
pack_uom_spi,SPI (Sin Cylinders),freight_base.product_uom_categ_pack,smaller,1
pack_uom_spl,SPL (Spool),freight_base.product_uom_categ_pack,smaller,1
pack_uom_svn,SVN (SEAVAN   Sea Van),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tbe,TBE (Tube),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tbn,TBN (Tote Bin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tin,TIN (Tin),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tkr,TKR (Tank Car),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tkt,TKT (Tank Truck),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tld,TLD (Intermodal Trainler/Container Load (Rail)),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tnk,TNK (Tank),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tot,TOT (Tote),freight_base.product_uom_categ_pack,smaller,1
pack_uom_trc,TRC (Tierce),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tri,TRI (Triwall Box),freight_base.product_uom_categ_pack,smaller,1
pack_uom_trk,TRK (Trunk or Chest),freight_base.product_uom_categ_pack,smaller,1
pack_uom_try,TRY (Tray),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tss,"TSS (Trunk,  Salesmen Sample)",freight_base.product_uom_categ_pack,smaller,1
pack_uom_ttc,TTC (Tote Can),freight_base.product_uom_categ_pack,smaller,1
pack_uom_tub,TUB (Tube),freight_base.product_uom_categ_pack,smaller,1
pack_uom_unp,UNP (Unpacked),freight_base.product_uom_categ_pack,smaller,1
pack_uom_unt,UNT (Unit),freight_base.product_uom_categ_pack,smaller,1
pack_uom_veh,VEH (Vehicles),freight_base.product_uom_categ_pack,smaller,1
pack_uom_vpk,VPK (Van Pack),freight_base.product_uom_categ_pack,smaller,1
pack_uom_wdc,WDC (Wooden Case),freight_base.product_uom_categ_pack,smaller,1
pack_uom_whe,WHE (On Own Wheels),freight_base.product_uom_categ_pack,smaller,1
pack_uom_wlc,WLC (Wheeled Carrier),freight_base.product_uom_categ_pack,smaller,1
pack_uom_wrp,WRP (Wrapped),freight_base.product_uom_categ_pack,smaller,1
temperature_uom_cel,CEL (Degree Celsius),freight_base.product_uom_categ_temperature,reference,1
temperature_uom_fah,FAH (Fahrenheit),freight_base.product_uom_categ_temperature,bigger,1
